date,area,area_type,population,cases,cumulative_cases
2/1/2020,Alameda,County,1685886,3,3
2/2/2020,Alameda,County,1685886,0,3
2/3/2020,Alameda,County,1685886,0,3
2/4/2020,Alameda,County,1685886,0,3
2/5/2020,Alameda,County,1685886,0,3
2/6/2020,Alameda,County,1685886,1,4
2/7/2020,Alameda,County,1685886,0,4
2/8/2020,Alameda,County,1685886,0,4
2/9/2020,Alameda,County,1685886,1,5
2/10/2020,Alameda,County,1685886,0,5
2/11/2020,Alameda,County,1685886,0,5
2/12/2020,Alameda,County,1685886,0,5
2/13/2020,Alameda,County,1685886,0,5
2/14/2020,Alameda,County,1685886,0,5
2/15/2020,Alameda,County,1685886,1,6
2/16/2020,Alameda,County,1685886,0,6
2/17/2020,Alameda,County,1685886,1,7
2/18/2020,Alameda,County,1685886,0,7
2/19/2020,Alameda,County,1685886,0,7
2/20/2020,Alameda,County,1685886,1,8
2/21/2020,Alameda,County,1685886,2,10
2/22/2020,Alameda,County,1685886,1,11
2/23/2020,Alameda,County,1685886,1,12
2/24/2020,Alameda,County,1685886,2,14
2/25/2020,Alameda,County,1685886,0,14
2/26/2020,Alameda,County,1685886,0,14
2/27/2020,Alameda,County,1685886,0,14
2/28/2020,Alameda,County,1685886,1,15
2/29/2020,Alameda,County,1685886,2,17
3/1/2020,Alameda,County,1685886,4,21
3/2/2020,Alameda,County,1685886,1,22
3/3/2020,Alameda,County,1685886,3,25
3/4/2020,Alameda,County,1685886,6,31
3/5/2020,Alameda,County,1685886,4,35
3/6/2020,Alameda,County,1685886,6,41
3/7/2020,Alameda,County,1685886,2,43
3/8/2020,Alameda,County,1685886,5,48
3/9/2020,Alameda,County,1685886,25,73
3/10/2020,Alameda,County,1685886,28,101
3/11/2020,Alameda,County,1685886,20,121
3/12/2020,Alameda,County,1685886,30,151
3/13/2020,Alameda,County,1685886,25,176
3/14/2020,Alameda,County,1685886,19,195
3/15/2020,Alameda,County,1685886,19,214
3/16/2020,Alameda,County,1685886,47,261
3/17/2020,Alameda,County,1685886,29,290
